field,non_null_cell_count,total_daily_review_cell_count,coverage_rate,mean,median,min,max,p25,p75
speed_mean,178,197,0.9035532994923858,20.74595487011254,14.435329964372105,0.0,206.20923973679243,8.15464521473666,22.293637834143205
thrust_mean,178,197,0.9035532994923858,9052.373857068902,8721.160736572801,0.0,29878.998974358972,5345.227266415921,12340.234175606247
torque_mean,178,197,0.9035532994923858,1524.2572470142668,1457.7452929161002,0.0,4322.710282051281,819.7041638725831,2101.98005619889
rpm_mean,0,197,0.0,,,,,,
working_sample_count,178,197,0.9035532994923858,551.9719101123595,535.5,0.0,2182.0,242.5,789.75
working_ratio,178,197,0.9035532994923858,0.3623307082486199,0.34289750339531533,0.0,1.0,0.2437781010169996,0.4941650836851809
insufficient_working_samples,178,197,0.9035532994923858,0.05056179775280899,0.0,0.0,1.0,0.0,0.0
working_speed_cv,169,197,0.8578680203045685,0.8755395339170877,0.37932019157518954,0.02080191590829512,3.5704276372878283,0.2678948447912218,1.4789935220761765
working_thrust_cv,169,197,0.8578680203045685,0.15610256938683434,0.14699153903784146,0.023743537275073334,0.33653577628057196,0.12081949092696062,0.1847332315703819
working_torque_cv,169,197,0.8578680203045685,0.28393822548111186,0.26337153507821026,0.03672891510728355,1.0944401415311111,0.21930509285236405,0.33244037151413186
penetration_mean,169,197,0.8578680203045685,11.118588977723805,7.717403307692307,2.53640651799511,94.36594562591696,5.9364608425,10.16315771538071
cutterhead_power_proxy,169,197,0.8578680203045685,115035.9111822632,24671.580503270372,2888.0247913649405,496388.46918867994,19155.08948024961,269114.55319560366
thrust_per_penetration,169,197,0.8578680203045685,3370.822116156194,3178.3750989918503,292.97926527848546,10466.769106950875,2396.395285171878,4163.845065058145
torque_per_penetration,169,197,0.8578680203045685,518.4849658391388,551.4643648301184,43.342684167399845,917.438576458464,398.83905232978816,646.4159299797265
