metric,value
insufficient_working_samples_cell_count,9
insufficient_working_samples_date_count,9
insufficient_working_samples_dates,2023-09-22;2023-10-02;2023-10-08;2023-11-26;2023-12-06;2023-12-15;2023-12-16;2023-12-17;2023-12-29
motion_fields_all_null_date_count,0
motion_fields_all_null_dates,
penetration_ratio_null_reason_count,"{""penetration_mean_null"": 28, ""thrust_per_penetration_null"": 28, ""torque_per_penetration_null"": 28}"
